ID,Краткое описание,Приоритет,Серьезность,Подробная информация,Шаги воспроизведения,Ожидаемый результат,Фактический результат
AQA-01,"Знак дефиса(""-"") между именем в поле ввода",Низкий приоритет,Trivial,"Ввод знака дефиса между именем в поле - Имя и Фамилия, при регистрации нового пользователя на сайте http://werent.me/","1. Перейти на сайт http://werent.me/ и нажать кнопку - Зарегистрироваться
2. В поле ввода имени и фамилии, ввести знак дефиса между выбранным именем пользователя
",Ссылка рабочая,"""+"""
,,,,,,Система принимает ввод дефиса между именем,"Система ввод дефиса не принимает, появляется сообщение об ошибке"
,,,,,,,
,,,,,,,
AQA-02,"Отсутствие знака ""@"" в поле ввода",Низкий приоритет,Trivial,"Отсутствие знака ""@"" в поле ввода e-mail, при регистрации нового пользователя на сайте http://werent.me/","1. Перейти на сайт http://werent.me/ и нажать кнопку - Зарегистрироваться
2. В поле ввода e-mail не вводить знак ""@"" при вводе значений
",Ссылка рабочая,"""+"""
,,,,,,"Система принимает ввод значений в поле e-mail без знака ""@""","При отсутствии знака ""@"", система выдает сообщение об ошибке"
,,,,,,,
,,,,,,,
AQA-03,Пустое поле ввода,Низкий приоритет,Trivial,"Пусто поле ввода пароля, при регистрации нового пользователя на сайте http://werent.me/","1. Перейти на сайт http://werent.me/ и нажать кнопку - Зарегистрироваться
2. В поле ввода пароля не вводить никаких значений
",Ссылка рабочая,"""+"""
,,,,,,Система принимает отсутствие значений в поле ввода пароля,"Система не принимает пустое поле ввода пароля, появляется сообщение об ошибке"